form	lemmaId	lemma	linkType	pos	via	note
lieu	lhieu.x	lhieu	phillips	p. p.	lhieu	phillips-1610;questionable
liey	lheie.v	lheie	phillips	v.	lheie	phillips-1610;questionable
lifre	livrey.v	livrey	phillips	v.	livrey	phillips-1610
lifree	livrey.v	livrey	phillips	v.	livrey	phillips-1610
lifrei	livrey.v	livrey	phillips	v.	livrey	phillips-1610;questionable
lig	lhig.v	lhig	phillips	v.	lhig	phillips-1610
ligge	lhiggey.v	lhiggey	phillips	v.	lhiggey	phillips-1610;questionable
liid	leeid.v	leeid	phillips	v.	leeid	phillips-1610;questionable
liidjeel	leeideil.v	leeideil	phillips	v.	leeideil	phillips-1610;questionable
lior	lioar.n	lioar	phillips	s. f.	lioar	phillips-1610;questionable
losky	lostey.v	lostey	phillips	v.	lostey	phillips-1610;questionable
loyr	loayr.v	loayr	phillips	v.	loayr	phillips-1610;questionable
loyrt	loayrt.v	loayrt	phillips	v.	loayrt	phillips-1610
luagh	leagh.n	leagh	phillips	s. m.	leagh	phillips-1610;questionable
mack	mac.n	mac	phillips	s. m.	mac	phillips-1610;questionable
magiyrt	mygeayrt.x	mygeayrt	phillips	pre.	mygeayrt	phillips-1610
managh	mannagh.x	mannagh	phillips	conj.	mannagh	phillips-1610;questionable
mar	myr.x	myr	phillips	conj.	myr	phillips-1610
margedyn	myrgeddin.x	myrgeddin	phillips	adv.	myrgeddin	phillips-1610;questionable
marshen	shen.x	shen	phillips	pro. adv.	shen	phillips-1610;questionable
maryms	marym.x	marym	phillips	p. p.	marym	phillips-1610;questionable
masky	mastey.v	mastey	phillips	v.	mastey	phillips-1610
masky	mastey.x	mastey	phillips		mastey	phillips-1610
meck	mec.n	mec	phillips	s. pl.	mec	phillips-1610;questionable
meid	mayd.x	mayd	phillips	pro.	mayd	phillips-1610
meiys	mieys.n	mieys	phillips	s. f.	mieys	phillips-1610;questionable
meliyn	meil.n	meil	phillips	s. f.	meillyn	phillips-1610;questionable
meyn	mean.n	mean	phillips	s. m.	mean	phillips-1610;questionable
mi	my.x	my	phillips	conj.	my	phillips-1610;questionable
milchyn	billey.n	billey	phillips	s. m.	biljyn	phillips-1610;questionable
moligi	moylley.v	moylley	phillips	v.	moylley	phillips-1610;questionable
moligi	moylley.n	moylley	phillips	s. f.	moylley	phillips-1610;questionable
molligi	moylley.v	moylley	phillips	v.	moylley	phillips-1610;questionable
molligi	moylley.n	moylley	phillips	s. f.	moylley	phillips-1610;questionable
mrishie	brishey.v	brishey	phillips	v.	vrishey	phillips-1610;questionable
mwary	mooarey.a	mooarey	phillips	a. pl.	mooarey	phillips-1610;questionable
nabw	naboo.n	naboo	phillips	s. m.	naboo	phillips-1610;questionable
naghtyn	smooinaght.n	smooinaght	phillips	s. m.	smooinaghtyn	phillips-1610;questionable
nan	nyn.x	nyn	phillips	pro.	nyn	phillips-1610
nare	nearey.n	nearey	phillips	s. f.	nearey	phillips-1610;questionable
nas	na.x	na	phillips	adv.	na	phillips-1610;questionable
nasmw	smoo.a	smoo	phillips	a.	smoo	phillips-1610;questionable
neawaghyn	niau.n	niau	phillips	s. m.	niaughyn	phillips-1610;questionable
neawghyn	niau.n	niau	phillips	s. m.	niaughyn	phillips-1610;questionable
niist	neesht.x	neesht	phillips	adv.	neesht	phillips-1610;questionable
noidj	noid.n	noid	phillips	s. m.	noid	phillips-1610;questionable
noidjyn	noid.n	noid	phillips	s. m.	noidyn	phillips-1610
noidjyns	noid.n	noid	phillips	s. m.	noidyn	phillips-1610;questionable
noll	doll.v	doll	phillips	v.	n'gholl	phillips-1610;questionable
nwaghyn	noo.n	noo	phillips	s. m.	nooghyn	phillips-1610;questionable
nwyn	noo.n	noo	phillips	s. m.	nooghyn	phillips-1610;questionable
nyoi	noi.x	noï	phillips	pre. & p. p.	noi	phillips-1610;questionable
obyr	obbyr.n	obbyr	phillips	s. f.	obbyr	phillips-1610;questionable
odys	fodd.v	fodd	phillips	v.	oddys	phillips-1610;questionable
oeyr	oyr.n	oyr	phillips	s. m.	oyr	phillips-1610;questionable
oneyr	onnor.n	onnor	phillips	s. m.	onnor	phillips-1610;questionable
oranyn	arrane.n	arrane	phillips	s. m.	arraneyn	phillips-1610;questionable
orw	orroo.x	orroo	phillips	p. p.	orroo	phillips-1610;questionable
orwin	orrin.x	orrin	phillips	p. p.	orrin	phillips-1610;questionable
orwiniyn	orrin.x	orrin	phillips	p. p.	orrin	phillips-1610;questionable
ory	orrym.x	orrym	phillips	p. p.	orrym	phillips-1610;questionable
orym	orrym.x	orrym	phillips	p. p.	orrym	phillips-1610;questionable
oryms	orrym.x	orrym	phillips	p. p.	orrym	phillips-1610;questionable
owrel	oural.n	oural	phillips	s. m.	oural	phillips-1610;questionable
payrt	paart.n	paart	phillips	s. m.	paart	phillips-1610;questionable
pobyl	pobble.n	pobble	phillips	s. m.	pobble	phillips-1610
pwer	pooar.n	pooar	phillips	s. m.	pooar	phillips-1610;questionable
quei	quoi.x	quoi	phillips	pro.	quoi	phillips-1610
radjyn	raaidyn.n	raaidyn	phillips	s. pl.	raaidyn	phillips-1610;questionable
rayd	raad.n	raad	phillips	s. m.	raad	phillips-1610
rayd	raad.x	raad	phillips	adv.	raad	phillips-1610
rayd	raad.v	raad	phillips	v.	raad	phillips-1610
raydjyn	raaidyn.n	raaidyn	phillips	s. pl.	raaidyn	phillips-1610;questionable
raydjyns	raaidyn.n	raaidyn	phillips	s. pl.	raaidyn	phillips-1610;questionable
