form	lemmaId	lemma	linkType	pos	via	note
jebusite	jebusite.np	Jebusite	self	np. ethnonym	Jebusite	
jebusiteyn	jebusite.np	Jebusite	inflected	np. ethnonym	Jebusite	
yebusite	jebusite.np	Jebusite	mutation	np. ethnonym	Jebusite	generated-lenition
jechonias	jechonias.np	Jechonias	self	np. other	Jechonias	
yechonias	jechonias.np	Jechonias	mutation	np. other	Jechonias	generated-lenition
jeconiah	jeconiah.np	Jeconiah	self	np. other	Jeconiah	
yeconiah	jeconiah.np	Jeconiah	mutation	np. other	Jeconiah	generated-lenition
jedaiah	jedaiah.np	Jedaiah	self	np. other	Jedaiah	
yedaiah	jedaiah.np	Jedaiah	mutation	np. other	Jedaiah	generated-lenition
jeddah	jeddah.np	Jeddah	self	np. place	Jeddah	
yeddah	jeddah.np	Jeddah	mutation	np. place	Jeddah	generated-lenition
jediael	jediael.np	Jediael	self	np. other	Jediael	
yediael	jediael.np	Jediael	mutation	np. other	Jediael	generated-lenition
jeduthun	jeduthun.np	Jeduthun	self	np. other	Jeduthun	
yeduthun	jeduthun.np	Jeduthun	mutation	np. other	Jeduthun	generated-lenition
jehiel	jehiel.np	Jehiel	self	np. personal	Jehiel	
yehiel	jehiel.np	Jehiel	mutation	np. personal	Jehiel	generated-lenition
jehoahaz	jehoahaz.np	Jehoahaz	self	np. personal	Jehoahaz	
yehoahaz	jehoahaz.np	Jehoahaz	mutation	np. personal	Jehoahaz	generated-lenition
jehoash	jehoash.np	Jehoash	self	np. personal	Jehoash	
yehoash	jehoash.np	Jehoash	mutation	np. personal	Jehoash	generated-lenition
jehohanan	jehohanan.np	Jehohanan	self	np. other	Jehohanan	
yehohanan	jehohanan.np	Jehohanan	mutation	np. other	Jehohanan	generated-lenition
jehoiachin	jehoiachin.np	Jehoiachin	self	np. other	Jehoiachin	
yehoiachin	jehoiachin.np	Jehoiachin	mutation	np. other	Jehoiachin	generated-lenition
jehoiada	jehoiada.np	Jehoiada	self	np. personal	Jehoiada	
yehoiada	jehoiada.np	Jehoiada	mutation	np. personal	Jehoiada	generated-lenition
jehoiakim	jehoiakim.np	Jehoiakim	self	np. personal	Jehoiakim	
yehoiakim	jehoiakim.np	Jehoiakim	mutation	np. personal	Jehoiakim	generated-lenition
jehoram	jehoram.np	Jehoram	self	np. personal	Jehoram	
yehoram	jehoram.np	Jehoram	mutation	np. personal	Jehoram	generated-lenition
jehoshaphat	jehoshaphat.np	Jehoshaphat	self	np. personal	Jehoshaphat	
yehoshaphat	jehoshaphat.np	Jehoshaphat	mutation	np. personal	Jehoshaphat	generated-lenition
jehovah	jehovah.np	Jehovah	self	np. other	Jehovah	
yehovah	jehovah.np	Jehovah	mutation	np. other	Jehovah	generated-lenition
jehu	jehu.np	Jehu	self	np. personal	Jehu	
yehu	jehu.np	Jehu	mutation	np. personal	Jehu	generated-lenition
jeiel	jeiel.np	Jeiel	self	np. other	Jeiel	
yeiel	jeiel.np	Jeiel	mutation	np. other	Jeiel	generated-lenition
jellicoe	jellicoe.np	Jellicoe	self	np. other	Jellicoe	
yellicoe	jellicoe.np	Jellicoe	mutation	np. other	Jellicoe	generated-lenition
jelune	jelune.np	Jelune	self	np. other	Jelune	
yelune	jelune.np	Jelune	mutation	np. other	Jelune	generated-lenition
jemmy	jemmy.np	Jemmy	self	np. other	Jemmy	
yemmy	jemmy.np	Jemmy	mutation	np. other	Jemmy	generated-lenition
jephthah	jephthah.np	Jephthah	self	np. personal	Jephthah	
yephthah	jephthah.np	Jephthah	mutation	np. personal	Jephthah	generated-lenition
jephunneh	jephunneh.np	Jephunneh	self	np. other	Jephunneh	
yephunneh	jephunneh.np	Jephunneh	mutation	np. other	Jephunneh	generated-lenition
jerahmeel	jerahmeel.np	Jerahmeel	self	np. other	Jerahmeel	
yerahmeel	jerahmeel.np	Jerahmeel	mutation	np. other	Jerahmeel	generated-lenition
jeremiah	jeremiah.np	Jeremiah	self	np. personal	Jeremiah	
yeremiah	jeremiah.np	Jeremiah	mutation	np. personal	Jeremiah	generated-lenition
jeremoth	jeremoth.np	Jeremoth	self	np. other	Jeremoth	
yeremoth	jeremoth.np	Jeremoth	mutation	np. other	Jeremoth	generated-lenition
jeremy	jeremy.np	Jeremy	self	np. other	Jeremy	
yeremy	jeremy.np	Jeremy	mutation	np. other	Jeremy	generated-lenition
jericho	jericho.np	Jericho	self	np. place	Jericho	
yericho	jericho.np	Jericho	mutation	np. place	Jericho	generated-lenition
jerimoth	jerimoth.np	Jerimoth	self	np. other	Jerimoth	
