senseId	lemmaId	dict	entryPath	gloss
darrag.n#1	darrag.n	cregeen	cregeen:darrag	a beam;
darrag.n#2	darrag.n	cregeen	cregeen:darrag	a fishing line made of black hair snooids
dooraght.n#1	dooraght.n	cregeen	cregeen:dooraght	See dhooraght.
dooraght.n#2	dooraght.n	cregeen	cregeen:e ghooraght	his perquisite;
doaie.n#1	doaie.n	cregeen	cregeen:doaie	decency, suitableness, discreetness, worth
doaie.n#2	doaie.n	cregeen	cregeen:e woaie	his hatred or detestation
doaiagh.a#1	doaiagh.a	cregeen	cregeen:ro ghoaiagh	too decent, &c
doaiagh.a#2	doaiagh.a	cregeen	cregeen:ro woaiagh	too hateful or detestable
doltey.n#1	doltey.n	cregeen	cregeen:doltey	an adopted child, or a child one has stood sponsor for at baptism;
doltey.n#2	doltey.n	cregeen	cregeen:e gholtey	his godson
dhooag.n#1	dhooag.n	cregeen	cregeen:dhooag	an eclipse
dhooag.n#2	dhooag.n	cregeen	cregeen:dhooag	a general name for a black cow
dooney.v#1	dooney.v	cregeen	cregeen:dooney	shutting, closing, darkening
dooney.v#2	dooney.v	cregeen	cregeen:dy ghooney	to shut or close up
druaight.n#1	druaight.n	cregeen	cregeen:druaight	a Druid
druaight.n#2	druaight.n	cregeen	cregeen:fo ghruaight	under druidism or inchantment
eab.v#1	eab.v	cregeen	cregeen:eab	attempt, &c.;
eab.v#2	eab.v	cregeen	cregeen:cha deab	did not form or plan
eaynnee.a#1	eaynnee.a	cregeen	cregeen:ny heaynnee	of the precipice or hogh
eaynnee.a#2	eaynnee.a	cregeen	cregeen:eaynnee	of a desert or wilderness
edd.n#1	edd.n	cregeen	cregeen:edd	a hat
edd.n#2	edd.n	cregeen	cregeen:edd	a nest;
idd.a#1	idd.a	cregeen	cregeen:idd	of a hat or hats
idd.a#2	idd.a	cregeen	cregeen:idd	of a nest or nests
idd.n#1	idd.n	cregeen	cregeen:nyn nidd	pl. your, &c. hats
idd.n#2	idd.n	cregeen	cregeen:e hidd	her nests
eebr.v#1	eebr.v	cregeen	cregeen:eebr	banish, send to exile;
eebr.v#2	eebr.v	cregeen	cregeen:deebr	did banish, banished, drove or did drive away with the wind, did compel to quit…
shegin.v#1	shegin.v	cregeen	cregeen:shegin	must, shall, (shyin)
shegin.v#2	shegin.v	cregeen	cregeen:shegin	lurking for, lying in wait;
eie.n#1	eie.n	cregeen	cregeen:eie	idea;
eie.n#2	eie.n	cregeen	cregeen:eie	meddle;, This word may seem strange as it has no substantive in English
elgys.n#1	elgys.n	cregeen	cregeen:elgys	spite, choler, fierceness
elgys.n#2	elgys.n	cregeen	cregeen:e helgys	her malignity
enn.v#1	enn.v	cregeen	cregeen:cha denn	did not feel, not felt, or felt not.
enn.v#2	enn.v	cregeen	cregeen:enn	to know or have knowledge of
skyn.x#1	skyn.x	cregeen	cregeen:er nyn skyn	above us, you, them
skyn.x#2	skyn.x	cregeen	cregeen:skyn	‘top’
erin.n#1	erin.n	cregeen	cregeen:Erin	Ireland.
erin.n#2	erin.n	cregeen	cregeen:erin	vestry;
faag.v#1	faag.v	cregeen	cregeen:faag	leave, quit, abandon;
faag.v#2	faag.v	cregeen	cregeen:aag	leave, (from faag);
faagail.v#1	faagail.v	cregeen	cregeen:faagail	leaving, quitting, &c
faagail.v#2	faagail.v	cregeen	cregeen:er vaagail	hath, &c. left
faarkey.n#1	faarkey.n	cregeen	cregeen:nyn vaarkey	your, &c. bathing
faarkey.n#2	faarkey.n	cregeen	cregeen:faarkey	the sea, and sometimes a billow or great wave;
faastey.v#1	faastey.v	cregeen	cregeen:faastey	wringing, pressing the water out
faastey.v#2	faastey.v	cregeen	cregeen:er vaastey	hath, &c. wrung
fakin.v#1	fakin.v	cregeen	cregeen:fakin	seeing, beholding
fakin.v#2	fakin.v	cregeen	cregeen:er vakin	hath, &c. seen;
faikin.v#1	faikin.v	cregeen	cregeen:faikin	seeing
faikin.v#2	faikin.v	cregeen	cregeen:er naikin	hath, &c. seen., This verb and naik and its declinables are not in Scripture; i…
faill.v#1	faill.v	cregeen	cregeen:daill	did fail, failed
faill.v#2	faill.v	cregeen	cregeen:faill	hire, engage for wages;
n'aill.v#1	n'aill.v	cregeen	cregeen:cha n'aill	not fail;
n'aill.v#2	n'aill.v	cregeen	cregeen:cha n'aill	not hire;
famlagh.v#1	famlagh.v	cregeen	cregeen:dy amlagh	to manure with sea weed
famlagh.v#2	famlagh.v	cregeen	cregeen:er vamlagh	hath, &c. wracked
farbagh.v#1	farbagh.v	cregeen	cregeen:er varbagh	hath, &c. fretted; as a sore
farbagh.v#2	farbagh.v	cregeen	cregeen:dy arbagh	to fret, rankle or corrode
fardail.n#1	fardail.n	cregeen	cregeen:fardail	vanity, folly, inanity;
fardail.n#2	fardail.n	cregeen	cregeen:dy ardail	of vainness or vanity;, pl. yn, syn.
fassaghey.v#1	fassaghey.v	cregeen	cregeen:fassaghey	feeding
fassaghey.v#2	fassaghey.v	cregeen	cregeen:er vassaghey	hath, &c. fed with grass
fea.n#1	fea.n	cregeen	cregeen:fea	quietness, rest, stillness
fea.n#2	fea.n	cregeen	cregeen:nyn vea	your, &c. quiet, &c
feer.x#1	feer.x	cregeen	cregeen:feer	very, in a great degree
feer.x#2	feer.x	cregeen	cregeen:dy feer	truly, verily, really
foalley.a#1	foalley.a	cregeen	cregeen:foalley	of the flesh
foalley.a#2	foalley.a	cregeen	cregeen:foalley	carnal, lustful, sensual, corporal
ferish.n#1	ferish.n	cregeen	cregeen:ferish	a fairy;
ferish.n#2	ferish.n	cregeen	cregeen:ferish	a hand steel to strike fire with a flint;
feyshteyder.n#1	feyshteyder.n	cregeen	cregeen:feyshteyder	a questioner, a inquisitive person
feyshteyder.n#2	feyshteyder.n	cregeen	cregeen:yn eyshteyder	the examiner, &c.;
fliugh.v#1	fliugh.v	cregeen	cregeen:fliugh	id;
fliugh.v#2	fliugh.v	cregeen	cregeen:cha liugh	not wet;
foadd.v#1	foadd.v	cregeen	cregeen:foadd	kindle, light fire;
foadd.v#2	foadd.v	cregeen	cregeen:my oadd	if kindle or ignite,
folmeyder.n#1	folmeyder.n	cregeen	cregeen:folmeyder	one who empties
folmeyder.n#2	folmeyder.n	cregeen	cregeen:yn olmeyder	the emptier
freggyr.v#1	freggyr.v	cregeen	cregeen:cha reggyr	not reply, or not do a required act;
freggyr.v#2	freggyr.v	cregeen	cregeen:dreggyr	replied, did reply or answer, did respond
freayll.v#1	freayll.v	cregeen	cregeen:dreayll	did keep, kept. See dreill
freayll.v#2	freayll.v	cregeen	cregeen:freayll	keeping, keepeth, &c., preserving, conserving, &c
gart.n#1	gart.n	cregeen	cregeen:gart	the last reaper on the standing corn side of a company of reapers in a field
gart.n#2	gart.n	cregeen	cregeen:nyn gart	your, &c. cart;
geill.n#1	geill.n	cregeen	cregeen:geill	a spring of water;
geill.n#2	geill.n	cregeen	cregeen:geill	heed, notice
geill.v#1	geill.v	cregeen	cregeen:geill	spring;
geill.v#2	geill.v	cregeen	cregeen:cha geill	not conceal or hide;
giall.v#1	giall.v	cregeen	cregeen:giall	whiten, or make white or bright, bleach or full;
giall.v#2	giall.v	cregeen	cregeen:giall	promise, grant;
ghiall.v#1	ghiall.v	cregeen	cregeen:ghiall	did bleach, cleanse, or full
ghiall.v#2	ghiall.v	cregeen	cregeen:ghiall	did promise or grant;
gial.v#1	gial.v	cregeen	cregeen:yial	did bleach, whiten, or make bright;
gial.v#2	gial.v	cregeen	cregeen:yial	did promise or grant;
giallit.x#1	giallit.x	cregeen	cregeen:giallit	bleached, whitened, fulled
giallit.x#2	giallit.x	cregeen	cregeen:giallit	promised, granted
ghiallit.x#1	ghiallit.x	cregeen	cregeen:ro ghiallit	too bleached
ghiallit.x#2	ghiallit.x	cregeen	cregeen:ro ghiallit	too promised or granted
giallit.a#1	giallit.a	cregeen	cregeen:ro yiallit	too bleached or whitened
giallit.a#2	giallit.a	cregeen	cregeen:ro yiallit	too promised or granted
gialleyder.n#1	gialleyder.n	cregeen	cregeen:gialleyder	& bleacher, a fuller, one that whitens
gialleyder.n#2	gialleyder.n	cregeen	cregeen:yn yialleyder	the promiser or granter
gennal.a#1	gennal.a	cregeen	cregeen:gennal	cheerful, affable, jovial, having sweet engaging looks
gennal.a#2	gennal.a	cregeen	cregeen:feer yennal	very glad, cheerful, free
gennallys.n#1	gennallys.n	cregeen	cregeen:gennallys	cheerfulness, exhilaration, hilarity, mirth, affability, jocularity
gennallys.n#2	gennallys.n	cregeen	cregeen:dy yennallys	of joyfulness, gladness
gient.v#1	gient.v	cregeen	cregeen:gient	conceive, or become pregnant; form in the mind
gient.v#2	gient.v	cregeen	cregeen:yient	did conceive or conceived;, -agh; &c. -ys
glioonagh.n#1	glioonagh.n	cregeen	cregeen:glioonagh	a disease in the knees;
glioonagh.n#2	glioonagh.n	cregeen	cregeen:glioonagh	a herb, arsmart, lakeweed, water pepper
