form	headword	listId	gloss	binomial	note
woishleeyn	Woishleeyn	morrison-plants	Pennyworts (wall)	Cotyledon umbilicus	
pibbyr keoie	Pibbyr-keoie	morrison-plants	Pepperwort	Lepidium campestra	
pibbyrkeoie	Pibbyr-keoie	morrison-plants	Pepperwort	Lepidium campestra	
pibbyr yn dooinney boght	Pibbyr-yn-dooinney-boght	morrison-plants	Pepperwort	Lepidium campestra	
pibbyryndooinneyboght	Pibbyr-yn-dooinney-boght	morrison-plants	Pepperwort	Lepidium campestra	
cabbag pharick	Cabbag Pharick	morrison-plants	Plaintain (greater)	Plantago major	the page prints 'Plaintain (greater)'; read 'Plantain (greater)'
cabbagpharick	Cabbag Pharick	morrison-plants	Plaintain (greater)	Plantago major	the page prints 'Plaintain (greater)'; read 'Plantain (greater)'
dullish far ushtey	Dullish far ushtey	morrison-plants	Pond weed	Potamogeton natans	
dullishfarushtey	Dullish far ushtey	morrison-plants	Pond weed	Potamogeton natans	
lus y chadlee	Lus-y-chadlee	morrison-plants	Poppy family	Papveraceae	
lusychadlee	Lus-y-chadlee	morrison-plants	Poppy family	Papveraceae	
praase	Praase	morrison-plants	Potato	Solanum tuberosum	
puddase	Puddase	morrison-plants	Potato	Solanum tuberosum	
sumark	Sumark	morrison-plants	Primrose	Primula vulgaris	
sumark souree	Sumark-souree	morrison-plants	Primrose	Primula vulgaris	
sumarksouree	Sumark-souree	morrison-plants	Primrose	Primula vulgaris	
raghyl	Raghyl	morrison-plants	Radish (wild)	Raphanus maritimus	
cushag	Cushag	morrison-plants	Ragwort	Senecio jacobaea	
curtlagh	Curtlagh	morrison-plants	Reed	Sparganium simplex	
slane luss	Slane-luss	morrison-plants	Ribwort plantain	Plantago lanceolate	
slaneluss	Slane-luss	morrison-plants	Ribwort plantain	Plantago lanceolate	
bogrenish	Bogrenish	morrison-plants	Royal fern	Osmunda regalis	
shuin	Shuin	morrison-plants	Rush family	Junceae	
leaghyr	Leaghyr	morrison-plants	Rush family	Junceae	
shoggyl	Shoggyl	morrison-plants	Rye	Secale cereale	
creeaghlagh	Creeaghlagh	morrison-plants	Sage (wild)	Teucrium sorodonia	
lus y chiolg	Lus-y-chiolg	morrison-plants	St. John’s wort	Hypericum pulchrum	
lusychiolg	Lus-y-chiolg	morrison-plants	St. John’s wort	Hypericum pulchrum	
shellagh	Shellagh	morrison-plants	Sallow	Salix	
lus ny greg	Lus-ny-greg	morrison-plants	Samphire	Crithmum maritimum	
lusnygreg	Lus-ny-greg	morrison-plants	Samphire	Crithmum maritimum	
hollyn traie	Hollyn-traie	morrison-plants	Sea holly	Ergyngium maritimum	
hollyntraie	Hollyn-traie	morrison-plants	Sea holly	Ergyngium maritimum	
cail traie	Cail-traie	morrison-plants	Sea kale	Cramb maritima	
cailtraie	Cail-traie	morrison-plants	Sea kale	Cramb maritima	
shaslagh	Shaslagh	morrison-plants	Sea matweed	Psamme arenaria	
rhennagh marrey	Rhennagh marrey	morrison-plants	Sea spleenwort	Asplenium marinum	
rhennaghmarrey	Rhennagh marrey	morrison-plants	Sea spleenwort	Asplenium marinum	
famlagh	Famlagh	morrison-plants	Sea-weeds	Algae	
dooan y chione cast	Dooan-y-chione-cast	morrison-plants	Self heal	Prunella vulgaris	
dooanychionecast	Dooan-y-chione-cast	morrison-plants	Self heal	Prunella vulgaris	
scrub y traie	Scrub-y-traie	morrison-plants	Scurvy grass	Cochlearia-officinalis	
scrubytraie	Scrub-y-traie	morrison-plants	Scurvy grass	Cochlearia-officinalis	
samark	Samark	morrison-plants	Shamrock family	Trifolium	
bossan gorrym	Bossan-gorrym	morrison-plants	Sheep’s bit	Jasione montana	
bossangorrym	Bossan-gorrym	morrison-plants	Sheep’s bit	Jasione montana	
duillag argid	Duillag-argid	morrison-plants	Silverweed	Potentilla anserina	
duillagargid	Duillag-argid	morrison-plants	Silverweed	Potentilla anserina	
drine doo	Drine doo	morrison-plants	Sloe	Prunis communis	
drinedoo	Drine doo	morrison-plants	Sloe	Prunis communis	
drine arn	Drine arn	morrison-plants	Sloe	Prunis communis	
drinearn	Drine arn	morrison-plants	Sloe	Prunis communis	
lus y chorran	Lus-y-chorran	morrison-plants	Sneezewort	Achillea ptarmica	
lusychorran	Lus-y-chorran	morrison-plants	Sneezewort	Achillea ptarmica	
shughlaig	Shughlaig	morrison-plants	Sorrel	Rumex acetosa	
onnane sleigh	Onnane sleigh	morrison-plants	Spear thistle	Cnicus lanceolatus	
onnanesleigh	Onnane sleigh	morrison-plants	Spear thistle	Cnicus lanceolatus	
lus y binjey	Lus-y-binjey	morrison-plants	Spearwort (lesser)	Ranunculus flammula	
lusybinjey	Lus-y-binjey	morrison-plants	Spearwort (lesser)	Ranunculus flammula	
lus ny fahnnaghyn	Lus-ny-fahnnaghyn	morrison-plants	Spurge	Euphorbia helioscopia	
lusnyfahnnaghyn	Lus-ny-fahnnaghyn	morrison-plants	Spurge	Euphorbia helioscopia	
carran	Carran	morrison-plants	Spurrey	Spergula arvensis	
smeyr greiney	Smeyr-greiney	morrison-plants	Stone bramble	Rubus saxatilis	
smeyrgreiney	Smeyr-greiney	morrison-plants	Stone bramble	Rubus saxatilis	
soo crou	Soo crou	morrison-plants	Strawberry (wild)	Fragaria vesca	
soocrou	Soo crou	morrison-plants	Strawberry (wild)	Fragaria vesca	
lus y druight	Lus-y-druight	morrison-plants	Sundow	Drosera rotundifola	the page prints 'Sundow'; read 'Sundew'
lusydruight	Lus-y-druight	morrison-plants	Sundow	Drosera rotundifola	the page prints 'Sundow'; read 'Sundew'
lus y ghraih	Lus-y-ghraih	morrison-plants	Sundow	Drosera rotundifola	the page prints 'Sundow'; read 'Sundew'
lusyghraih	Lus-y-ghraih	morrison-plants	Sundow	Drosera rotundifola	the page prints 'Sundow'; read 'Sundew'
faiyr sonnys	Faiyr sonnys	morrison-plants	Sweet meadow grass	Anthoxanthum, odoratum	
faiyrsonnys	Faiyr sonnys	morrison-plants	Sweet meadow grass	Anthoxanthum, odoratum	
leaddan	Leaddan	morrison-plants	Teasal	Dipsacus sylvestris	the page prints 'Teasal'; read 'Teasel'
onnane	Onnane	morrison-plants	Thistle	Cnicus arevensis, etc.	
keirn jiarg	Keirn jiarg	morrison-plants	Thrift	Armeria vulgaris	
keirnjiarg	Keirn jiarg	morrison-plants	Thrift	Armeria vulgaris	
thyme thallooin	Thyme thallooin	morrison-plants	Thyme (wild)	Thymus serpyllum	
thymethallooin	Thyme thallooin	morrison-plants	Thyme (wild)	Thymus serpyllum	
lus y vuinney	Lus-y-vuinney	morrison-plants	Tormentil	Potentilla tormentilla	
lusyvuinney	Lus-y-vuinney	morrison-plants	Tormentil	Potentilla tormentilla	
napin	Napin	morrison-plants	Turnip	Brassica rapa	
kere hallooin	Kere hallooin	morrison-plants	Valerian	Valeriana officinalis	
kerehallooin	Kere hallooin	morrison-plants	Valerian	Valeriana officinalis	
vervine	Vervine	morrison-plants	Vervain	Verbena officinalis	
yn luss	Yn luss	morrison-plants	Vervain	Verbena officinalis	
ynluss	Yn luss	morrison-plants	Vervain	Verbena officinalis	
luss	Yn luss	morrison-plants	Vervain	Verbena officinalis	
bossan ingey	Bossan ingey	morrison-plants	Vernal grass	Erophila vulgaris	
bossaningey	Bossan ingey	morrison-plants	Vernal grass	Erophila vulgaris	
pishyr lughagh	Pishyr lughagh	morrison-plants	Vetch	Vicia sp—	
pishyrlughagh	Pishyr lughagh	morrison-plants	Vetch	Vicia sp—	
sumark gorrym	Sumark gorrym	morrison-plants	Violet (common dog violet)	V. sylvatica	
sumarkgorrym	Sumark gorrym	morrison-plants	Violet (common dog violet)	V. sylvatica	
cro rangagh	Cro-rangagh	morrison-plants	Walnut	Julans regia	
crorangagh	Cro-rangagh	morrison-plants	Walnut	Julans regia	
aghaue	Aghaue	morrison-plants	Water hemlock	Circuta virosa	
pollagh	Pollagh	morrison-plants	Water parsnip	Sium angustifolium	
glioonagh	Glioonagh	morrison-plants	Water pepper	Polygonum hydropiper	
curnaght	Curnaght	morrison-plants	Wheat		
tuig y yeeighey	Tuig-y-yeeighey	morrison-plants	Willow (creeping)	Salix repens	
tuigyyeeighey	Tuig-y-yeeighey	morrison-plants	Willow (creeping)	Salix repens	
lus ny shellee	Lus-ny-shellee	morrison-plants	Willow herb	Epilobium montanum	
lusnyshellee	Lus-ny-shellee	morrison-plants	Willow herb	Epilobium montanum	
bee cooag	Bee-cooag	morrison-plants	Wood sorrel	Oxalis acetosella	
beecooag	Bee-cooag	morrison-plants	Wood sorrel	Oxalis acetosella	
ullymar	Ullymar	morrison-plants	Wormwood	Artemisia absinthium	
airh hallooin	Airh-hallooin	morrison-plants	Yarrow	Achillea, millefolium	
airhhallooin	Airh-hallooin	morrison-plants	Yarrow	Achillea, millefolium	
lus y volley	Lus-y-volley	morrison-plants	Yellow bedstraw	Galium verum	
lusyvolley	Lus-y-volley	morrison-plants	Yellow bedstraw	Galium verum	
wullee wus	Wullee wus	morrison-plants	Yellow weed	Raseda luteola	
wulleewus	Wullee wus	morrison-plants	Yellow weed	Raseda luteola	
lus y wee	Lus-y-wee	morrison-plants	Yellow weed	Raseda luteola	
lusywee	Lus-y-wee	morrison-plants	Yellow weed	Raseda luteola	
