senseId	lemmaId	dict	entryPath	gloss
glioonagh.n#2	glioonagh.n	cregeen	cregeen:glioonagh	a herb, arsmart, lakeweed, water pepper
gollage.n#1	gollage.n	cregeen	cregeen:gollage	a fork of any kind but a flesh-fork;
gollage.n#2	gollage.n	cregeen	cregeen:gollage	an earwig;
ghollage.n#1	ghollage.n	cregeen	cregeen:yn ghollage	the pitch-fork, or any fork of timber, &c.;
ghollage.n#2	ghollage.n	cregeen	cregeen:yn ghollage	the ear-wig;
imlagh.n#1	imlagh.n	cregeen	cregeen:imlagh	the fine of groats
imlagh.n#2	imlagh.n	cregeen	cregeen:imlagh	the strange sheep to be turned off
ingan.n#1	ingan.n	cregeen	cregeen:ingan	an anvil;
ingan.n#2	ingan.n	cregeen	cregeen:ingan	the issue, increase, or offspring of sheep, cattle, fowls, &c.;
jatter.n#1	jatter.n	cregeen	cregeen:e yatter	his dealer with
jatter.n#2	jatter.n	cregeen	cregeen:jatter	a debtor
jatter.n#3	jatter.n	cregeen	cregeen:jatter	an author
jesheenys.n#1	jesheenys.n	cregeen	cregeen:jesheenys	trimmings, embellishments;
jesheenys.n#2	jesheenys.n	cregeen	cregeen:e yesheenys	his ornamenting, &c
kaart.n#1	kaart.n	cregeen	cregeen:kaart	a card;
kaart.n#2	kaart.n	cregeen	cregeen:kaart	a quart;, the weight of 7lbs. of wool;
kartey.v#1	kartey.v	cregeen	cregeen:kartey	carting
kartey.v#2	kartey.v	cregeen	cregeen:kartey	raking muck or mire
kartit.x#1	kartit.x	cregeen	cregeen:kartit	carted
kartit.x#2	kartit.x	cregeen	cregeen:kartit	muck raked
keilley.a#1	keilley.a	cregeen	cregeen:keilley	of sense or wit
keilley.a#2	keilley.a	cregeen	cregeen:cheilley	of the church
kellagh.n#1	kellagh.n	cregeen	cregeen:kellagh	a cock, The males of many fowls are called kellagh;
kellagh.n#2	kellagh.n	cregeen	cregeen:kellagh	a wooden anchor with a stone in it.
key.n#1	key.n	cregeen	cregeen:key	a quay;
key.n#2	key.n	cregeen	cregeen:key	cream;
kip.n#1	kip.n	cregeen	cregeen:e chip	his blocks or lasts
kip.n#2	kip.n	cregeen	cregeen:kip	a whip;
kiarail.v#1	kiarail.v	cregeen	cregeen:kiarail	care, cares, careth, &c.; determine, &c
kiarail.v#2	kiarail.v	cregeen	cregeen:er chiarail	hath, &c. intended, purposed, provided, or resolved
leggad.n#1	leggad.n	cregeen	cregeen:leggad	a legacy;
leggad.n#2	leggad.n	cregeen	cregeen:leggad	a person to liking; a custom in former times of calling a lad and lass to be to…
lhiann.v#1	lhiann.v	cregeen	cregeen:lhiann	flatten;
lhiann.v#2	lhiann.v	cregeen	cregeen:lhiann	cleave;
lhiasit.x#1	lhiasit.x	cregeen	cregeen:lhiasit	atoned, amended, recompensed; manured
lhiasit.x#2	lhiasit.x	cregeen	cregeen:lhiasit	alleged, invented, contrived falsely, laid against in untruth;
lhiass.v#1	lhiass.v	cregeen	cregeen:lhiass	allege, invent, contrive lies and tell them for truth;
lhiass.v#2	lhiass.v	cregeen	cregeen:lhiass	needs;
lhieeney.n#1	lhieeney.n	cregeen	cregeen:lhieeney	a filling;
lhieeney.n#2	lhieeney.n	cregeen	cregeen:lhieeney	a spasm,
mam.n#1	mam.n	cregeen	cregeen:mam	the hands full when placed together by the little fingers
mam.n#2	mam.n	cregeen	cregeen:e vam	his blain
mergey.n#1	mergey.n	cregeen	cregeen:mergey	rust
mergey.n#2	mergey.n	cregeen	cregeen:mergey	ensign;
mheillea.n#1	mheillea.n	cregeen	cregeen:mheillea	the term is used for the finishing of reaping corn;, from mheil (a company of r…
mheillea.n#2	mheillea.n	cregeen	cregeen:yn vheillea	the harvest feast
minjeig.n#1	minjeig.n	cregeen	cregeen:minjeig	a bundle of heather, &c
minjeig.n#2	minjeig.n	cregeen	cregeen:minjeig	a young hind or roe
mol.n#1	mol.n	cregeen	cregeen:yn vol	the mould to cast anything in
mol.n#2	mol.n	cregeen	cregeen:mol	a nave;
monney.n#1	monney.n	cregeen	cregeen:yn vonney	the much, the many
monney.n#2	monney.n	cregeen	cregeen:monney	manner, meaning
mwashag.n#1	mwashag.n	cregeen	cregeen:yn washag	the wig or tuft of hair
mwashag.n#2	mwashag.n	cregeen	cregeen:mwashag	a blowze;
ny.x#1	ny.x	cregeen	cregeen:ny	not., This word, which is a corruption of nagh, ought not to be. See nagh
ny.x#2	ny.x	cregeen	cregeen:ny	or, nor
oashyr.n#1	oashyr.n	cregeen	cregeen:oashyr	a blade of corn or grass;
oashyr.n#2	oashyr.n	cregeen	cregeen:oashyr	a stocking, hose
ooh.n#1	ooh.n	cregeen	cregeen:ooh	an egg;
ooh.n#2	ooh.n	cregeen	cregeen:ooh	an udder
parick.n#1	parick.n	cregeen	cregeen:parick	a small lobster;
parick.n#2	parick.n	cregeen	cregeen:Parick	Patrick
pick.n#1	pick.n	cregeen	cregeen:pick	a pick-axe
pick.n#2	pick.n	cregeen	cregeen:pick	pitch;
poll.v#1	poll.v	cregeen	cregeen:poll	mat, or stick together;
poll.v#2	poll.v	cregeen	cregeen:poll	prune;
pooar.n#1	pooar.n	cregeen	cregeen:pooar	power, puissance, authority
pooar.n#2	pooar.n	cregeen	cregeen:pooar	token, warrant
punt.n#1	punt.n	cregeen	cregeen:punt	a pound, 20 shillings;
punt.n#2	punt.n	cregeen	cregeen:punt	a small yawl or boat;
raah.n#1	raah.n	cregeen	cregeen:raah	report
raah.n#2	raah.n	cregeen	cregeen:raah	prosperity;
rick.n#1	rick.n	cregeen	cregeen:rick	‘sign’
rick.n#2	rick.n	cregeen	cregeen:rick	a satisfactory answer; a resolve; uniformity of rule, a steady determined manne…
roostey.v#1	roostey.v	cregeen	cregeen:roostey	making naked
roostey.v#2	roostey.v	cregeen	cregeen:roostey	robbing
sap.n#1	sap.n	cregeen	cregeen:sap	a wisp, the outside of timber;
sap.n#2	sap.n	cregeen	cregeen:e hap	his shop
seiy.v#1	seiy.v	cregeen	cregeen:seiy	to push or shove;
seiy.v#2	seiy.v	cregeen	cregeen:heiy	did toss, agitate, mix, &c.;
sheeley.v#1	sheeley.v	cregeen	cregeen:sheeley	straining, filtering
sheeley.v#2	sheeley.v	cregeen	cregeen:dy heeley	sneak away, &c
sheelaghey.v#1	sheelaghey.v	cregeen	cregeen:sheelaghey	filtering
sheelaghey.v#2	sheelaghey.v	cregeen	cregeen:dy heelaghey	to sober, &c
shuit.n#1	shuit.n	cregeen	cregeen:shuit	a suit
shuit.n#2	shuit.n	cregeen	cregeen:shuit	a shift or effort
skah.n#1	skah.n	cregeen	cregeen:skah	a mark in the ear of sheep
skah.n#2	skah.n	cregeen	cregeen:skah	a strong wind that sheds or shakes corn or fruit
snauane.n#1	snauane.n	cregeen	cregeen:snauane	a slumber, (a corruption of saveenys)
snauane.n#2	snauane.n	cregeen	cregeen:snauane	a fibre of gossamer
sogh.n#1	sogh.n	cregeen	cregeen:sogh	a sob or groan
sogh.n#2	sogh.n	cregeen	cregeen:sogh	a surge
sogh.v#1	sogh.v	cregeen	cregeen:sogh	sob, groan;
sogh.v#2	sogh.v	cregeen	cregeen:sogh	surge;
soghal.v#1	soghal.v	cregeen	cregeen:soghal	sobbing, groaning;
soghal.v#2	soghal.v	cregeen	cregeen:soghal	surging;
soghit.x#1	soghit.x	cregeen	cregeen:soghit	sobbed
soghit.x#2	soghit.x	cregeen	cregeen:soghit	surged
sondid.n#1	sondid.n	cregeen	cregeen:sondid	sordidness, churlishness
sondid.n#2	sondid.n	cregeen	cregeen:e hondid	his avariciousness
staik.n#1	staik.n	cregeen	cregeen:staik	a stake
staik.n#2	staik.n	cregeen	cregeen:staik	a stitch in the body
tann.v#1	tann.v	cregeen	cregeen:hann	did abide, continue, tarry, or endure;
tann.v#2	tann.v	cregeen	cregeen:hann	did make thin or thinned;
thannid.n#1	thannid.n	cregeen	cregeen:thannid	thinness, tenuity, liquidity
thannid.n#2	thannid.n	cregeen	cregeen:thannid	a hoggerel or thave, a sheep in its third year
thunnit.x#1	thunnit.x	cregeen	cregeen:thunnit	inured
thunnit.x#2	thunnit.x	cregeen	cregeen:thunnit	tunned
traartys.n#1	traartys.n	cregeen	cregeen:traartys	destruction of inhabitants, desolation;
traartys.n#2	traartys.n	cregeen	cregeen:nyn draartys	your, &c., overthrow (sic: confusion with haart)
twoaie.n#1	twoaie.n	cregeen	cregeen:twoaie	‘vigilance, caution’
twoaie.n#2	twoaie.n	cregeen	cregeen:twoaie	north
